MONTH,MONTH_NUM,Rev_Budget,Rev_Actual,Exp_Actual,NI_Actual,Rev_Var,Rev_Var_Pct,MoM_Growth,Rolling_3M,NI_Margin,RUN_DATE
Jan,1,84229415.89,84443021.79,47896448.21,36546573.58,213605.9,0.25,,84443021.79,43.28,2026-03-01
Feb,2,71258748.41,72085394.11,42507454.1,29577940.01,826645.7,1.16,-14.63,78264207.95,41.03,2026-03-01
Mar,3,72141135.49,72357099.77,41798651.21,30558448.56,215964.28,0.3,0.38,76295171.89,42.23,2026-03-01
Apr,4,74231656.21000001,73430966.53,44329403.56,29101562.97,-800689.68,-1.08,1.48,72624486.8,39.63,2026-03-01
May,5,75319431.96,74430590.77,43802615.93,30627974.84,-888841.19,-1.18,1.36,73406219.02,41.15,2026-03-01
Jun,6,69158173.89,69635336.37,42865353.99,26769982.38,477162.48,0.69,-6.44,72498964.56,38.44,2026-03-01
Jul,7,76702753.58,78076120.84,47673990.07,30402130.77,1373367.26,1.79,12.12,74047349.33,38.94,2026-03-01
Aug,8,75457890.77,73983784.64,44651790.910000004,29331993.73,-1474106.13,-1.95,-5.24,73898413.95,39.65,2026-03-01
Sep,9,78077667.78999999,80022307.73,45430074.45,34592233.28,1944639.94,2.49,8.16,77360737.74,43.23,2026-03-01
Oct,10,69006988.33,70027151.22,40754683.01,29272468.21,1020162.89,1.48,-12.49,74677747.86,41.8,2026-03-01
Nov,11,66506824.22,66673752.81,44047488.370000005,22626264.44,166928.59,0.25,-4.79,72241070.59,33.94,2026-03-01
Dec,12,74160443.33,74824997.15,43439202.0,31385795.15,664553.82,0.9,12.23,70508633.73,41.95,2026-03-01
