MONTH,MONTH_NUM,REGION,SEGMENT,REVENUE_BUDGET,REVENUE_ACTUAL,EXPENSE_BUDGET,EXPENSE_ACTUAL,YEAR,REVENUE_VARIANCE,REVENUE_VAR_PCT,EXPENSE_VARIANCE,EXPENSE_VAR_PCT,NETINCOME_BUDGET,NETINCOME_ACTUAL,NETINCOME_VARIANCE,MARGIN_BUDGET,MARGIN_ACTUAL,REV_VARIANCE,REV_VAR_PCT,EXP_VARIANCE,EXP_VAR_PCT,NI_ACTUAL,NI_BUDGET,NI_VARIANCE,NET_MARGIN_PCT,VARIANCE_STATUS,RISK_FLAG,RUN_DATE
Jan,1,North America,Equity Funds,3328761.33,3107633.64,1670088.54,1740913.45,2024,-221127.69,-6.64,70824.91,4.24,1658672.79,1366720.19,-291952.6,49.83,43.98,-221127.69,-6.64,70824.91,4.24,1366720.19,1658672.79,-291952.6,43.98,UNFAVORABLE,WATCH,2026-03-01
Jan,1,North America,Fixed Income,4476147.48,3971020.2,2042997.23,2045623.03,2024,-505127.28,-11.28,2625.8,0.13,2433150.25,1925397.17,-507753.08,54.36,48.49,-505127.28,-11.28,2625.8,0.13,1925397.17,2433150.25,-507753.08,48.49,CRITICAL,CRITICAL,2026-03-01
Jan,1,North America,Real Estate,938773.54,948899.11,438549.91,447945.3,2024,10125.57,1.08,9395.39,2.14,500223.63,500953.81,730.18,53.28,52.79,10125.57,1.08,9395.39,2.14,500953.81,500223.63,730.18,52.79,ON TARGET,OK,2026-03-01
Jan,1,North America,Hedge Funds,4456472.11,4668392.76,1837369.97,1685447.18,2024,211920.65,4.76,-151922.79,-8.27,2619102.14,2982945.58,363843.44,58.77,63.9,211920.65,4.76,-151922.79,-8.27,2982945.58,2619102.14,363843.44,63.9,FAVORABLE,OK,2026-03-01
Jan,1,North America,Private Equity,4427677.88,3999131.49,2840458.74,2911169.82,2024,-428546.39,-9.68,70711.08,2.49,1587219.14,1087961.67,-499257.47,35.85,27.2,-428546.39,-9.68,70711.08,2.49,1087961.67,1587219.14,-499257.47,27.2,UNFAVORABLE,WATCH,2026-03-01
Jan,1,Europe,Equity Funds,4220297.44,4699502.86,2734644.77,2768799.8,2024,479205.42,11.35,34155.03,1.25,1485652.67,1930703.06,445050.39,35.2,41.08,479205.42,11.35,34155.03,1.25,1930703.06,1485652.67,445050.39,41.08,FAVORABLE,OK,2026-03-01
Jan,1,Europe,Fixed Income,4593373.86,4678647.62,2833788.97,2524899.89,2024,85273.76,1.86,-308889.08,-10.9,1759584.89,2153747.73,394162.84,38.31,46.03,85273.76,1.86,-308889.08,-10.9,2153747.73,1759584.89,394162.84,46.03,ON TARGET,OK,2026-03-01
Jan,1,Europe,Real Estate,1609497.14,1506279.79,868005.73,821752.89,2024,-103217.35,-6.41,-46252.84,-5.33,741491.41,684526.9,-56964.51,46.07,45.44,-103217.35,-6.41,-46252.84,-5.33,684526.9,741491.41,-56964.51,45.44,UNFAVORABLE,WATCH,2026-03-01
Jan,1,Europe,Hedge Funds,3379783.51,3144150.71,1850750.71,2044704.02,2024,-235632.8,-6.97,193953.31,10.48,1529032.8,1099446.69,-429586.11,45.24,34.97,-235632.8,-6.97,193953.31,10.48,1099446.69,1529032.8,-429586.11,34.97,UNFAVORABLE,WATCH,2026-03-01
Jan,1,Europe,Private Equity,3290115.22,3471040.08,2078337.43,2018209.69,2024,180924.86,5.5,-60127.74,-2.89,1211777.79,1452830.39,241052.6,36.83,41.86,180924.86,5.5,-60127.74,-2.89,1452830.39,1211777.79,241052.6,41.86,FAVORABLE,OK,2026-03-01
